cycle,timestamp,spearman_r,spearman_p,pearson_r,pearson_p,kendall_tau,kendall_p,ci_lo,ci_hi,spearman_r_ema,spearman_p_ema,pearson_r_ema,pearson_p_ema,kendall_tau_ema,kendall_p_ema,spearman_r_best,spearman_p_best,pearson_r_best,pearson_p_best,kendall_tau_best,kendall_p_best,mean_val_acc1,std_val_acc1,mean_ema_acc1,mean_best_val_acc1,n_archs
31,2026-06-03T17:08:00.709093,0.16428571428571426,0.5584973732486012,-0.17698961215694672,0.5280255565754852,0.12380952380952381,0.5589660721223221,-0.4918766546229541,0.7364691886826074,0.3,0.27731678036838386,-0.16721091838869978,0.5514149258883732,0.2571428571428572,0.20184282422518202,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,87.91634245314592,1.3545622874623697,87.38022925033466,92.46010081994646,15
32,2026-06-03T17:13:54.799973,0.3571428571428571,0.19127476343157904,-0.013952720763801885,0.9606384663719716,0.3142857142857143,0.11424717239544455,-0.29818658556633243,0.8949902452619838,0.30357142857142855,0.27135583600386853,-0.17472478938192174,0.533402870060146,0.2761904761904762,0.16857787367749338,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,88.18814842704151,1.154212701072819,87.74026313587684,92.46010081994646,15
33,2026-06-03T17:20:05.658465,0.2714285714285714,0.3277893068411727,0.06844934125337794,0.8084798430397486,0.1619047619047619,0.43511891093211363,-0.35271247739602163,0.7007571333775708,0.25,0.36884629178393047,-0.17381132022382442,0.5355785584596234,0.20000000000000004,0.3282335876694342,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,88.45984981593037,0.8708985052151512,88.05153949129854,92.46010081994646,15
34,2026-06-03T17:25:58.841605,0.1928571428571428,0.4910487016052232,-0.244967834179983,0.37887742284925063,0.20000000000000004,0.3282335876694342,-0.46912039312039316,0.8342416877308961,0.2785714285714285,0.3147094732307908,-0.18691105732538413,0.504760025934636,0.23809523809523814,0.23945881568583288,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,89.32906626506025,1.1155158440851018,88.3418360943775,92.46010081994646,15
35,2026-06-03T17:31:57.976556,0.22499999999999998,0.420104686907635,0.07792835682369817,0.7825090664136812,0.14285714285714288,0.4950508526248027,-0.3494631255102248,0.7122170889220067,0.2785714285714285,0.3147094732307908,-0.18332704704018266,0.5131092157894345,0.23809523809523814,0.23945881568583288,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,89.8622720046854,1.2576524101426225,88.5869205990629,92.46010081994646,15
36,2026-06-03T17:37:53.207478,0.3714285714285714,0.17284974708033998,-0.27538728868207835,0.320502424048545,0.33333333333333337,0.09264256691158146,-0.3006057795859758,0.9239164832140893,0.2821428571428571,0.30828445682005556,-0.1949464342851816,0.4862731051771335,0.2571428571428572,0.20184282422518202,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,91.08712976907631,1.1411173186064654,88.80997950133869,92.46010081994646,15
37,2026-06-03T17:43:47.740810,0.5178571428571428,0.04800407736655833,-0.3684837773066742,0.17654845279378292,0.5238095238095238,0.005901586283902752,-0.12160817060552266,0.9709632026092218,0.2821428571428571,0.30828445682005556,-0.18771731139311082,0.5028905246151442,0.2571428571428572,0.20184282422518202,0.28928571428571426,0.29566536100437785,-0.3563367088186171,0.1923508345902231,0.21904761904761905,0.2815660702955676,91.60507655622492,1.0958437299546326,89.02580112115128,92.46010081994646,15
38,2026-06-03T17:49:51.254174,0.2571428571428571,0.35486036365060913,-0.36212168875697737,0.18471516272849442,0.21904761904761905,0.2815660702955676,-0.42393908719238943,0.8464421062464137,0.2821428571428571,0.30828445682005556,-0.19095195908711865,0.49542268616037183,0.2571428571428572,0.20184282422518202,0.27499999999999997,0.3212111733193767,-0.3445794234616485,0.20848954960727073,0.20000000000000004,0.3282335876694342,92.23168716532798,0.992846869944364,89.24090110441765,92.48653990963857,15
39,2026-06-03T17:55:45.555966,0.32499999999999996,0.23722543823723408,-0.24665724983730894,0.37549342260764323,0.2571428571428572,0.20184282422518202,-0.37071549236175627,0.8773572463371964,0.2642857142857143,0.3411737579900821,-0.18567355228185287,0.5076357394180743,0.23809523809523814,0.23945881568583288,0.32499999999999996,0.23722543823723408,-0.33375553950991826,0.2240868830682281,0.2571428571428572,0.20184282422518202,92.6418486445783,0.8236672181201689,89.44526020749666,92.67599564926371,15
40,2026-06-03T18:01:44.820947,0.34642857142857136,0.2058959920935512,-0.23622727698108686,0.39664654688440915,0.2761904761904762,0.16857787367749338,-0.3430670327462666,0.8909189723320159,0.2821428571428571,0.30828445682005556,-0.18806217706835,0.5020918511473017,0.2571428571428572,0.20184282422518202,0.34642857142857136,0.2058959920935512,-0.2730451268996723,0.32480235835810267,0.2761904761904762,0.16857787367749338,92.80558693105756,0.8708766499829518,89.62690344712182,92.81575259370815,15
